,cast,crew,id
116,"['Sarah Jessica Parker', 'Elle Macpherson', 'Scarlett Johansson']",Eric Schaeffer,10324
117,"['Andy García', 'Alan Arkin', 'Rachel Ticotin']",Andrew Davis,78406
118,"['Halle Berry', 'Jim Belushi', 'Casey Affleck']",Charles T. Kanganis,55731
119,"['Henry Czerny', 'Johnny Morina', 'Brian Dooley']",John N. Smith,32119
120,"['Eddie Murphy', 'Robin Givens', 'Halle Berry']",Reginald Hudlin,11066
121,"['Brigitte Lin', 'Tony Leung Chiu-Wai', 'Faye Wong']",Wong Kar-wai,11104
122,"['Sergio Castellitto', 'Tiziana Lodato', 'Franco Scaldati']",Giuseppe Tornatore,37975
123,"['Ben Stiller', 'Patricia Arquette', 'Téa Leoni']",David O. Russell,2074
124,"['Jason James Richter', 'Melody Kay', 'Kevin McNulty']",Peter MacDonald,27793
125,"['Amel Hedhili', 'Najia Ouerghi', 'Fatima Ben Saïdane']",Moufida Tlatli,44284
126,['Maggie Cogan'],Michel Negroponte,290157
127,"['Josh Charles', 'Anne Heche', 'John Goodman']",Bryan Gordon,110972
128,"['Miranda Rhyne', 'Charlotte Eve Blythe', 'Anna Levine']",Rebecca Miller,32622
129,"['Matt Dillon', 'Corban Walker', 'Gabriel Byrne']",Michael Lindsay-Hogg,73067
130,"['David Caruso', 'Linda Fiorentino', 'Chazz Palminteri']",William Friedkin,11863
131,"['Luisito Marti', 'Alfonso Zayas', 'Caridad Ravelo']",Ángel Muñiz,55475
132,"['Lloyd Dunn', 'Chris Grigg', 'Mark Hosler']",Craig Baldwin,124636
133,"['Kelsey Grammer', 'Lauren Holly', 'Rob Schneider']",David S. Ward,9101
134,"['Jean Seberg', 'Mary Beth Hurt']",Mark Rappaport,123360
135,"['Dirk Shafer', 'Mary Stein', 'Claudette Sutherland']",Dirk Shafer,5757
136,"['Jacob Tierney', 'Drake Bell', 'Gena Rowlands']",Terence Davies,39428
137,[],Sandip Ray,124639
138,"['Robert Redford', 'Michelle Pfeiffer', 'Stockard Channing']",Jon Avnet,9302
139,"['Robin Williams', 'Gene Hackman', 'Nathan Lane']",Mike Nichols,11000
140,"['Martin Sheen', 'Michael York', 'Morgan Fairchild']",Jakov Sedlar,249882
141,"['Shari Albert', 'Maxine Bahns', 'Catharine Bolz']",Edward Burns,16388
142,"['Will Smith', 'Martin Lawrence', 'Téa Leoni']",Michael Bay,9737
143,"['Stephen Lang', 'Ryan Slater', 'Yi Ding']",Christopher Cain,30765
144,"['Leonardo DiCaprio', 'Lorraine Bracco', 'James Madio']",Scott Kalvert,10474
145,"['Alan Rickman', 'Hugh Grant', 'Georgina Cates']",Mike Newell,22279
146,"['Isabelle Huppert', 'Martin Donovan', 'Elina Löwensohn']",Hal Hartley,30157
147,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon']",Ron Howard,568
148,"['Liam Neeson', 'Jessica Lange', 'John Hurt']",Michael Caton-Jones,11780
149,"['Lili Taylor', 'Christopher Walken', 'Annabella Sciorra']",Abel Ferrara,34996
150,"['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey']",Joel Schumacher,414
151,"['Catherine Deneuve', 'Michel Piccoli', 'Jean Sorel']",Luis Buñuel,649
152,"['Patricia Arquette', 'Frances McDormand', 'U Aung Ko']",John Boorman,1873
153,"['Harvey Keitel', 'Lou Reed', 'Michael J. Fox']",Paul Auster,5894
154,"['John Candy', 'Alan Alda', 'Rhea Perlman']",Michael Moore,1775
155,"['Christina Ricci', 'Bill Pullman', 'Cathy Moriarty']",Brad Silberling,8839
156,"['Harvey Keitel', 'John Turturro', 'Delroy Lindo']",Spike Lee,20649
157,"['Laura Linney', 'Dylan Walsh', 'Ernie Hudson']",Frank Marshall,10329
158,"['Denzel Washington', 'Gene Hackman', 'Matt Craven']",Tony Scott,8963
159,"['Robert Crumb', 'Aline Kominsky', 'Charles Crumb']",Terry Zwigoff,26564
160,"['Antonio Banderas', 'Salma Hayek', 'Joaquim de Almeida']",Robert Rodriguez,8068
161,"['Denzel Washington', 'Tom Sizemore', 'Jennifer Beals']",Carl Franklin,8512
162,"['Bruce Willis', 'Jeremy Irons', 'Samuel L. Jackson']",John McTiernan,1572
163,"['Rose McGowan', 'James Duval', 'Johnathon Schaech']",Gregg Araki,13552
164,"['Embeth Davidtz', 'Tom Bell', 'Gemma Jones']",Christopher Menaul,259209
165,"['Sean Connery', 'Richard Gere', 'Julia Ormond']",Jerry Zucker,6520
166,"['Jason James Richter', 'Michael Madsen', 'Jayne Atkinson']",Dwight H. Little,9073
167,"['Jonny Lee Miller', 'Angelina Jolie', 'Jesse Bradford']",Iain Softley,10428
168,"['Steven Weber', 'Patrick Stewart', 'Michael T. Weiss']",Christopher Ashley,17447
169,"['Keanu Reeves', 'Dina Meyer', 'Takeshi Kitano']",Robert Longo,9886
170,"['Sylvester Stallone', 'Diane Lane', 'Armand Assante']",Danny Cannon,9482
171,"['Pauly Shore', 'Tia Carrere', 'Stanley Tucci']",John Fortenberry,19326
172,"['Leo Fitzpatrick', 'Rosario Dawson', 'Chloë Sevigny']",Larry Clark,9344
173,"['Steve Buscemi', 'Catherine Keener', 'Dermot Mulroney']",Tom DiCillo,9071
174,"['Scott Bakula', ""Kevin J. O'Connor"", 'Famke Janssen']",Clive Barker,8973
175,"['Thomas Gibson', 'Ruth Marshall', 'Cameron Bancroft']",Denys Arcand,15730
176,"[""Chris O'Donnell"", 'Drew Barrymore', 'Matthew Lillard']",Antonia Bird,47608
177,"['Jason Lee', 'Jeremy London', 'Shannen Doherty']",Kevin Smith,2293
178,"['Amy Jo Johnson', 'Jason David Frank', 'David Yost']",Bryan Spicer,9070
179,"['Elizabeth Perkins', 'Gwyneth Paltrow', 'Kathleen Turner']",David Anspaugh,68274
180,"['Marina Zudina', 'Fay Ripley', 'Evan Richards']",Anthony Waller,48787
181,"['Elina Löwensohn', 'Peter Fonda', 'David Lynch']",Michael Almereyda,34574
182,"['Sandra Bullock', 'Jeremy Northam', 'Dennis Miller']",Irwin Winkler,1642
183,"['Hugh Grant', 'Julianne Moore', 'Tom Arnold']",Chris Columbus,11472
184,"['Parker Posey', 'Liev Schreiber', 'Anthony DeSando']",Daisy von Scherler Mayer,36196
185,"['Christopher Walken', 'Elias Koteas', 'Virginia Madsen']",Gregory Widen,11980
186,"['Mia Farrow', 'Tony Goldwyn', 'Scott Glenn']",Norman René,58372
187,"['Julianne Moore', 'Xander Berkeley', 'Dean Norris']",Todd Haynes,32646
188,"['Demi Moore', 'Gary Oldman', 'Robert Duvall']",Roland Joffé,10533
189,"['Kurtis Blow', 'Sean Combs', 'Snoop Dogg']",,56088
190,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon']",Paul Verhoeven,10802
191,"['Harvey Keitel', 'William Hurt', 'Giancarlo Esposito']",Wayne Wang,10149
192,"['Julia Roberts', 'Dennis Quaid', 'Robert Duvall']",Lasse Hallström,18402
193,"['Natasha Henstridge', 'Ben Kingsley', 'Michael Madsen']",Roger Donaldson,9348
194,"['Robert Duvall', 'Aidan Quinn', 'Frances Fisher']",James Keach,139408
195,"['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore']",Kathryn Bigelow,281
196,"['Catherine Deneuve', 'Nino Castelnuovo', 'Anne Vernon']",Jacques Demy,5967
197,"['Daryl Hannah', 'Keith Carradine', 'Moira Kelly']",Wesley Strick,79593
198,"['Patrick Swayze', 'Mary Elizabeth Mastrantonio', 'Joseph Mazzello']",Martha Coolidge,47939
199,"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer']",Agnieszka Holland,36834
200,"['Patrick Swayze', 'Wesley Snipes', 'John Leguizamo']",Beeban Kidron,9090
201,"['Steven Seagal', 'Eric Bogosian', 'Everett McGill']",Geoff Murphy,3512
202,"['Andie MacDowell', 'John Turturro', 'Michael Richards']",Diane Keaton,52856
203,"['Sandra Bernhard', 'Isaac Mizrahi', 'Naomi Campbell']",Douglas Keeve,77350
204,"['Keanu Reeves', 'Aitana Sánchez-Gijón', 'Anthony Quinn']",Alfonso Aráu,9560
205,"['Kevin Costner', 'Chaim Girafi', 'Rick Aviles']",Kevin Reynolds,9804
206,"['John Travolta', 'Harry Belafonte', 'Kelly Lynch']",Desmond Nakano,31611
207,"['Jeff Bridges', 'Ellen Barkin', 'John Hurt']",Walter Hill,65796
208,"['Albert Finney', 'Greta Scacchi', 'Matthew Modine']",Mike Figgis,49805
209,"['Daniel Stern', 'Jon Polito', 'Brad Sullivan']",Greg Beeman,26258
210,"['Nikita Mikhalkov', 'Oleg Menshikov', 'Ingeborga Dapkunaite']",Nikita Mikhalkov,50797
211,"['Katrin Cartlidge', 'Rade Serbedzija', 'Grégoire Colin']",Milčo Mančevski,19155
212,"['Ethan Hawke', 'Julie Delpy', 'Andrea Eckert']",Richard Linklater,76
213,"['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson']",Tamra Davis,11017
214,"['Alicia Silverstone', 'Jeremy London', 'J.T. Walsh']",Guy Ferland,37141
215,"['Whoopi Goldberg', 'Mary-Louise Parker', 'Drew Barrymore']",Herbert Ross,9382
216,"['Brad Renfro', 'Joseph Mazzello', 'Annabella Sciorra']",Peter Horton,6715
217,"['Jeffrey Combs', 'Barbara Crampton', 'Jonathan Fuller']",Stuart Gordon,18256
218,"[""Chris O'Donnell"", 'Minnie Driver', ""Geraldine O'Rawe""]",Pat O'Connor,22625
219,"[""Brian O'Halloran"", 'Jeff Anderson', 'Jason Mewes']",Kevin Smith,2292
220,"['Johnny Depp', 'Marlon Brando', 'Faye Dunaway']",Jeremy Leven,1909
221,"['Michael Douglas', 'Demi Moore', 'Donald Sutherland']",Barry Levinson,8984
222,"['Patsy Kensit', 'Bruce Greenwood', 'Andrew McCarthy']",René Bonnière,61813
223,"['Wesley Snipes', 'Gary Busey', 'Yancy Butler']",John Badham,4954
224,"['Dylan McDermott', 'Nancy Travis', 'James Le Gros']",Jack Baran,62488
225,"['Sigourney Weaver', 'Ben Kingsley', 'Stuart Wilson']",Roman Polanski,10531
226,"['Kathy Bates', 'Jennifer Jason Leigh', 'Judy Parfitt']",Taylor Hackford,11929
227,"['Jim Carrey', 'Jeff Daniels', 'Lauren Holly']",Peter Farrelly,8467
228,"['Sihung Lung', 'Yu-Wen Wang', 'Jacklyn Wu ']",Ang Lee,10451
229,"['Bruce Greenwood', 'Mia Kirshner', 'Elias Koteas']",Atom Egoyan,20156
230,"['Dana Delany', 'Paul Mercurio', ""Rosie O'Donnell""]",Garry Marshall,18395
231,"['Johnny Depp', 'Martin Landau', 'Sarah Jessica Parker']",Tim Burton,522
232,"['Meg Ryan', 'Kevin Kline', 'Timothy Hutton']",Lawrence Kasdan,397
233,"['Billy Crystal', 'Debra Winger', 'Joe Mantegna']",Billy Crystal,10525
234,"['Mimi Rogers', 'Jesse Bradford', 'Bruce Davison']",Phillip Borsos,27985
235,"['Bill Farmer', 'Jason Marsden', 'Rob Paulsen']",Kevin Lima,15789
236,"['Jeff Goldblum', 'Christine Lahti', 'Alicia Silverstone']",Brett Leonard,27303
237,"['Samuel L. Jackson', 'Matthew Modine', 'Nancy Travis']",Carlo Carlei,21183
238,"['Stefano Dionisi', 'Enrico Lo Verso', 'Elsa Zylberstein']",Gérard Corbiau,10954
239,"['Ted Manson', 'Afemo Omilami']",Mark Lewis,47867
240,[],Art Clokey,43475
241,"['Ice Cube', 'Lori Petty', 'Erich Anderson']",Charles Burnett,72031
242,"['William Gates', 'Arthur Agee', 'Steve James']",Steve James,14275
243,"['Melanie Lynskey', 'Kate Winslet', 'Sarah Peirse']",Peter Jackson,1024
244,"['Sinbad', 'Phil Hartman', 'Jeffrey Jones']",Randall Miller,17207
245,"['Gary Oldman', 'Jeroen Krabbé', 'Isabella Rossellini']",Bernard Rose,13701
246,"['Ben Stiller', 'Aaron Schwartz', 'Kenan Thompson']",Steven Brill,14819
247,"['Christopher Lambert', 'John Lone', 'Joan Chen']",J. F. Lawton,32631
248,"['Tim Robbins', 'Meg Ryan', 'Walter Matthau']",Fred Schepisi,11777
249,"['Brad Pitt', 'Tom Cruise', 'Kirsten Dunst']",Neil Jordan,628
250,"['Nick Nolte', 'Greta Scacchi', 'Thandie Newton']",James Ivory,87729
251,"['John G. Brennan', 'Kamal Ahmed', 'Alan Arkin']",James Melkonian,18713
252,"['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson']",Ivan Reitman,6280
253,"['Sean Connery', 'Laurence Fishburne', 'Blair Underwood']",Arne Glimcher,9061
254,"['Thomas Ian Nicholas', 'Joss Ackland', 'Art Malik']",Michael Gottlieb,37108
255,"['David Caruso', 'Samuel L. Jackson', 'Nicolas Cage']",Barbet Schroeder,6071
256,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",George Lucas,11
257,"['Winona Ryder', 'Gabriel Byrne', 'Trini Alvarado']",Gillian Armstrong,9587
258,"['Liesel Matthews', 'Eleanor Bron', 'Liam Cunningham']",Alfonso Cuarón,19101
259,"['Crissy Rock', 'Vladimir Vega', 'Sandie Lavelle']",Ken Loach,49980
260,"['Emmanuelle Béart', 'François Cluzet', 'Nathalie Cardone']",Claude Chabrol,17961
261,"['Marco Leonardi', 'Lumi Cavazos', 'Regina Torné']",Alfonso Aráu,18183
262,"['Brad Pitt', 'Anthony Hopkins', 'Aidan Quinn']",Edward Zwick,4476
263,"['Damon Wayans', 'Orlando Brown', 'Michael Ironside']",Nick Castle,11008
264,"['Edward Furlong', 'Tim Roth', 'Moira Kelly']",James Gray,47504
265,"['Angel Aviles', 'Seidy López', 'Jacob Vargas']",Allison Anders,32325
266,"['Warren Beatty', 'Annette Bening', 'Katharine Hepburn']",Glenn Gordon Caron,43742
267,"['Jessica Lange', 'Halle Berry', 'David Strathairn']",Stephen Gyllenhaal,28313
268,"['Nigel Hawthorne', 'Helen Mirren', 'Ian Holm']",Nicholas Hytner,11318
269,"['Robert De Niro', 'Kenneth Branagh', 'Tom Hulce']",Kenneth Branagh,3036
270,"['Farrah Fawcett', 'Chevy Chase', 'Jonathan Taylor Thomas']",James Orr,40490
271,"['Steve Martin', 'Madeline Kahn', 'Robert Klein']",Nora Ephron,24070
272,"['Melanie Griffith', 'Ed Harris', 'Michael Patrick Carter']",Richard Benjamin,8986
273,"['Richard Attenborough', 'Elizabeth Perkins', 'Dylan McDermott']",Les Mayfield,10510
274,"['Sarah Jessica Parker', 'Antonio Banderas', 'Mia Farrow']",David Frankel,17402
275,"['Edward James Olmos', 'Jimmy Smits', 'Esai Morales']",Gregory Nava,38722
276,"['Christian Slater', 'Kevin Bacon', 'Gary Oldman']",Marc Rocco,8438
277,"['Paul Newman', 'Bruce Willis', 'Melanie Griffith']",Robert Benton,11593
278,"['Jodie Foster', 'Liam Neeson', 'Natasha Richardson']",Michael Apted,1945
279,"['Sharron Corley', 'Donald Faison', 'Christine Baranski']",Nick Gomez,39310
280,"['Toru Nakamura', 'Chad McQueen', 'Mira Sorvino']",Tōru Murakawa,109560
281,"['Elizabeth Hurley', 'Craig Fairbrass', 'Keith Allen']",Vadim Jean,56428
282,"['Sue Price', 'Chad Stahelski', 'Tina Cote']",Albert Pyun,63105
283,"['Laura San Giacomo', ""Michael O'Keefe"", 'Paul Rhys']",Alan Jacobs,131957
284,"['Woody Harrelson', 'Juliette Lewis', 'Robert Downey Jr.']",Oliver Stone,241
285,"['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt']",Norman Jewison,9058
286,"['Rena Owen', 'Temuera Morrison', 'Mamaengaroa Kerr-Bell']",Lee Tamahori,527
287,"['Alyssa Milano', 'Johnathon Schaech', 'Xander Berkeley']",Anne Goursaud,18220
288,"['Dustin Hoffman', 'Rene Russo', 'Morgan Freeman']",Wolfgang Petersen,6950
289,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']",Luc Besson,101
290,"['Marisa Tomei', 'Alfred Molina', 'Anjelica Huston']",Mira Nair,63020
291,"['William Baldwin', 'John Leguizamo', 'Эрика Элениак']",Joshua Brand,2307
292,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",Quentin Tarantino,680
293,"['Kadeem Hardison', 'Bokeem Woodbine', 'Courtney B. Vance']",Mario Van Peebles,41478
294,"['Sihung Lung', 'Wang Lai', 'Bo Z. Wang']",Ang Lee,25296
295,"['Linus Roache', 'Tom Wilkinson', 'Robert Carlyle']",Antonia Bird,40156
296,"['John Turturro', 'Rob Morrow', 'Ralph Fiennes']",Robert Redford,11450
297,"['Youki Kudoh', 'Akira Takayama', 'Tamlyn Tomita']",Kayo Hatta,30304
298,"['Isabelle Adjani', 'Daniel Auteuil', 'Jean-Hugues Anglade']",Patrice Chéreau,10452
299,"['Sharon Stone', 'Gene Hackman', 'Russell Crowe']",Sam Raimi,12106
300,"['Peter Falk', 'D. B. Sweeney', 'Julianne Moore']",Peter Yates,161495
301,"['Marcello Mastroianni', 'Sophia Loren', 'Jean-Pierre Cassel']",Robert Altman,3586
